D_INTERVIEW,Q165,Q166,Q167,Q168
840072018,1,1,1,1
840072019,1,1,1,1
840072020,1,1,1,1
840072021,1,1,1,1
840072022,1,1,1,1
840072023,1,1,1,1
840072024,1,1,1,1
840072025,1,1,1,1
840072026,1,1,1,1
840072027,2,1,1,1
840072028,1,1,2,2
840072029,1,1,1,2
840072030,1,1,2,1
840072031,1,2,1,2
840072032,2,2,2,2
840072033,1,1,1,1
840072034,2,1,2,2
840072035,1,1,1,1
840072036,1,-2,-2,-2
840072037,1,1,1,1
840072038,1,1,1,1
840072039,2,-2,-2,-2
840072040,1,2,2,2
840072041,1,1,2,2
840072042,1,1,2,2
840072043,1,1,1,1
840072044,1,1,1,1
840072045,1,1,1,1
840072046,1,2,2,2
840072047,1,2,2,1
840072048,1,1,1,1
840072049,1,1,1,1
840072050,1,2,2,2
840072051,1,-2,-2,1
840072052,1,2,1,1
840072053,1,1,1,1
840072054,1,1,1,1
840072055,1,1,1,1
840072056,1,1,1,1
840072057,1,2,2,1
840072058,1,1,1,1
840072059,1,1,1,1
840072060,1,1,-2,-2
840072061,2,2,2,2
840072062,1,1,1,1
840072063,1,1,1,1
840072064,1,1,1,1
840072065,1,2,1,1
840072066,1,1,1,1
840072067,1,1,1,1
840072068,2,1,2,1
840072069,2,1,2,2
840072070,1,1,1,1
840072071,1,1,1,2
840072072,2,1,2,2
840072073,1,1,1,1
840072074,1,1,1,1
840072075,1,1,1,1
840072076,2,2,2,2
840072077,1,1,1,1
840072078,1,1,1,2
840072079,-2,-2,-2,-2
840072080,1,1,1,1
840072081,2,2,2,2
840072082,1,1,1,1
840072083,1,1,1,1
840072084,1,1,1,1
840072085,1,1,1,1
840072086,1,1,1,1
840072087,1,1,1,2
840072088,1,1,1,1
840072089,1,1,1,1
840072090,1,1,2,1
840072091,2,2,2,2
840072092,2,1,2,2
840072093,1,1,1,1
840072094,1,1,1,1
840072095,1,1,1,1
840072096,1,1,1,1
840072097,1,1,1,2
840072098,2,1,2,2
840072099,1,1,1,1
840072100,1,1,1,1
840072101,1,1,1,1
840072102,2,2,2,2
840072103,1,1,1,1
840072104,1,1,1,1
840072105,1,2,2,2
840072106,1,1,1,1
840072107,1,1,1,1
840072108,1,1,1,1
840072109,1,1,1,1
840072110,1,1,2,1
840072111,1,1,2,2
840072112,1,1,1,1
840072113,1,1,1,1
840072114,1,1,1,1
